% Model:              Mismatch 1D e 2D - BH.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 8 2024, 17:43
% Table:              1D T and R alpha=0.2 - 1D T and R
% Mat index                                       freq (Hz)                                         point_in * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)    point_out * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)
1                                                 0.01                                              -0.2410159160350001-0.4793965186855779i           0.7539356314768371-0.37904006331613593i
1                                                 0.02                                              -0.5065416464501209-0.59955825282209i             0.47332187272447757-0.3998898181794909i
1                                                 0.03                                              -0.6228094410423197-0.6268576316826984i           0.3320977128992401-0.3299530555005401i
1                                                 0.04                                              -0.6577575830024176-0.6548381391014709i           0.2626077808861077-0.26377855674496226i
1                                                 0.05                                              -0.6517135019600154-0.6927569208185755i           0.22491553615947793-0.21159007916814337i
1                                                 0.060000000000000005                              -0.6218493610035097-0.7370313822402089i           0.20234257242777115-0.1707208165096661i
1                                                 0.06999999999999999                               -0.5760367102629749-0.783557929967565i            0.18760750563856649-0.1379206389657454i
1                                                 0.08                                              -0.5184272597498861-0.8291805174503845i           0.17723747454696978-0.11081391364119751i
1                                                 0.09                                              -0.45158040580972814-0.8715858239837965i          0.16943171550043742-0.0877848637931841i
1                                                 0.09999999999999999                               -0.3773280783170131-0.9090685870826206i           0.163186754186949-0.06773410195762442i
1                                                 0.11                                              -0.29715251954489036-0.9403593213356422i          0.15790772548020465-0.049898668963364534i
1                                                 0.12                                              -0.21236072672812134-0.9645142756341566i          0.15322222147386333-0.03373551136075805i
1                                                 0.13                                              -0.12416726875516976-0.9808468195641432i          0.14888509708383602-0.018847648272542233i
1                                                 0.14                                              -0.03373292057957017-0.9888841342939163i          0.14472693495682803-0.004936940573431976i
1                                                 0.15000000000000002                               0.0578192728751184-0.9883389825362402i            0.14062470604083618+0.008226750529108318i
1                                                 0.16                                              0.14940001071399175-0.9790903668174874i           0.13648428110748542+0.02082622171041043i
1                                                 0.17                                              0.23995642495299246-0.9611693538298611i           0.13222953536651913+0.03301117169940357i
1                                                 0.18000000000000002                               0.3284785032319134-0.9347478205172265i            0.12779524389156213+0.044908358705825546i
1                                                 0.19                                              0.41400755568487774-0.9001287716174418i           0.12312220813109336+0.05662914688859894i
1                                                 0.2                                               0.4956457034961703-0.8577374339943954i            0.11815370867726939+0.0682754135744422i
1                                                 0.21000000000000002                               0.5725657388018629-0.8081126940103458i            0.11283273723542037+0.07994449291662646i
1                                                 0.22                                              0.6440209231608364-0.7518986948438642i            0.1070996626998444+0.09173366585402479i
1                                                 0.23                                              0.7093544245768957-0.6898366031881003i            0.10089010474388715+0.10374462858956339i
1                                                 0.24000000000000002                               0.7680081756137243-0.6227567247840419i            0.09413286321266515+0.11608836269124488i
1                                                 0.25                                              0.8195309821321338-0.5515713251629117i            0.0867478082377516+0.12889088543858843i
1                                                 0.26                                              0.8635857245327054-0.47726872547489974i           0.07864369593449762+0.14230048925438718i
1                                                 0.27                                              0.8999554562676679-0.4009095323489701i            0.06971596526558227+0.156497309947339i
1                                                 0.28                                              0.9285480794917534-0.32362628017266076i           0.05984473888453405+0.1717064428460947i
1                                                 0.29000000000000004                               0.9493989808001515-0.2466283998121328i            0.048893582964305696+0.18821643367806273i
1                                                 0.3                                               0.9626703649776629-0.17121540955489145i           0.036710257163149504+0.20640593489035927i
1                                                 0.31                                              0.9686446585200756-0.09880274529766148i           0.023132080315597214+0.22678282839736744i
1                                                 0.32                                              0.9677064722021471-0.030966952440265233i          0.00800144660682503+0.2500424164954847i
1                                                 0.33                                              0.9603014953389502+0.030479781455114187i          -0.008796830691952431+0.27715453935538736i
1                                                 0.34                                              0.9468476252108248+0.08337208331746004i           -0.027251576356321174+0.3094931728250561i
